year,ppg,rpg,apg,stl,blk,to
1,21.3,10.4,4.5,1.7,0.6,3.2
2,21.2,10.9,5.5,2.0,0.8,3.5
3,22.9,10.9,5.8,1.9,0.9,3.3
4,23.6,11.0,5.8,1.9,0.9,3.0
5,24.2,10.1,6.6,1.8,0.9,3.0
6,28.7,10.5,6.6,1.6,1.2,3.1
7,25.8,9.8,6.8,2.0,0.6,3.2
8,28.1,9.2,7.6,1.8,0.9,3.2
9,29.9,9.3,6.1,1.6,0.8,2.8
10,19.3,6.2,4.8,1.0,0.8,1.8
11,24.3,9.5,7.5,1.4,0.8,3.2
12,19.4,8.5,7.2,1.8,1.0,3.1
13,20.2,9.6,6.8,0.9,0.7,2.8
career,24.3,10.0,6.3,1.7,0.8,3.1
