year,ppg,rpg,apg,stl,blk,to
1,28.2,6.5,5.9,2.4,0.8,3.5
2,22.7,3.6,2.9,2.1,1.2,2.5
3,37.1,5.2,4.6,2.9,1.5,3.3
4,35.0,5.5,5.9,3.2,1.6,3.1
5,32.5,8.0,8.0,2.9,0.8,3.6
6,33.6,6.9,6.3,2.8,0.7,3.0
7,31.5,6.0,5.5,2.7,1.0,2.5
8,30.1,6.4,6.1,2.3,0.9,2.5
9,32.6,6.7,5.5,2.8,0.8,2.7
10,26.9,6.9,5.3,1.8,0.8,2.1
11,30.4,6.6,4.3,2.2,0.5,2.4
12,29.6,5.9,4.3,1.7,0.5,2.0
13,28.7,5.8,3.5,1.7,0.5,2.3
14,22.9,5.7,5.2,1.4,0.4,2.7
15,20.0,6.1,3.8,1.5,0.5,2.1
career,30.1,6.1,5.3,2.3,0.8,2.7
