year,ppg,rpg,apg,stl,blk,to
1,18.0,7.7,7.3,2.4,0.5,4.0
2,21.6,8.6,8.6,3.4,0.7,3.9
3,18.6,9.6,9.5,2.7,0.4,3.7
4,16.8,8.6,10.5,2.2,0.6,3.8
5,17.6,7.3,13.1,2.2,0.7,4.6
6,18.3,6.2,12.6,1.5,0.3,4.0
7,18.8,5.9,12.6,1.6,0.2,3.8
8,23.9,6.3,12.2,1.7,0.5,3.8
9,19.6,6.2,11.9,1.6,0.2,3.7
10,22.5,7.9,12.8,1.8,0.3,4.1
11,22.3,6.6,11.5,1.7,0.4,3.7
12,19.4,7.0,12.5,1.3,0.2,4.0
13,14.6,5.7,6.9,0.8,0.4,3.2
career,19.5,7.2,11.2,1.9,0.4,3.9
